date,home_team,away_team,home_team_continent,away_team_continent,home_team_score,away_team_score,tournament,neutral_location,shoot_out,home_team_result
8/8/1993,Bolivia,Uruguay,South America,South America,3,1,FIFA World Cup qualification,FALSE,No,Win
8/8/1993,Brazil,Mexico,South America,North America,1,1,Friendly,FALSE,No,Draw
8/8/1993,Ecuador,Venezuela,South America,South America,5,0,FIFA World Cup qualification,FALSE,No,Win
8/8/1993,Guinea,Sierra Leone,Africa,Africa,1,0,Friendly,FALSE,No,Win
8/8/1993,Paraguay,Argentina,South America,South America,1,3,FIFA World Cup qualification,FALSE,No,Lose
8/8/1993,Peru,Colombia,South America,South America,0,1,FIFA World Cup qualification,FALSE,No,Lose
8/8/1993,Zimbabwe,Eswatini,Africa,Africa,2,0,Friendly,FALSE,No,Win
8/9/1993,Guinea,Sierra Leone,Africa,Africa,4,0,Friendly,FALSE,No,Win
8/11/1993,Faroe Islands,Norway,Europe,Europe,0,7,Friendly,FALSE,No,Lose
8/11/1993,Sweden,Switzerland,Europe,Europe,1,2,Friendly,FALSE,No,Lose
8/15/1993,Australia,Canada,Oceania,North America,2,1,FIFA World Cup qualification,FALSE,Yes,Win
8/15/1993,Bolivia,Ecuador,South America,South America,1,0,FIFA World Cup qualification,FALSE,No,Win
8/15/1993,Colombia,Argentina,South America,South America,2,1,FIFA World Cup qualification,FALSE,No,Win
8/15/1993,Congo,Guinea,Africa,Africa,0,0,African Cup of Nations qualification,FALSE,No,Draw
8/15/1993,Uruguay,Brazil,South America,South America,1,1,FIFA World Cup qualification,FALSE,No,Draw
8/22/1993,Argentina,Peru,South America,South America,2,1,FIFA World Cup qualification,FALSE,No,Win
8/22/1993,Bolivia,Venezuela,South America,South America,7,0,FIFA World Cup qualification,FALSE,No,Win
8/22/1993,Brazil,Ecuador,South America,South America,2,0,FIFA World Cup qualification,FALSE,No,Win
8/22/1993,Paraguay,Colombia,South America,South America,1,1,FIFA World Cup qualification,FALSE,No,Draw
8/22/1993,Sweden,France,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
8/25/1993,Austria,Finland,Europe,Europe,3,0,FIFA World Cup qualification,FALSE,No,Win
8/25/1993,Denmark,Lithuania,Europe,Europe,4,0,FIFA World Cup qualification,FALSE,No,Win
8/29/1993,Argentina,Paraguay,South America,South America,0,0,FIFA World Cup qualification,FALSE,No,Draw
8/29/1993,Brazil,Bolivia,South America,South America,6,0,FIFA World Cup qualification,FALSE,No,Win
8/29/1993,Colombia,Peru,South America,South America,4,0,FIFA World Cup qualification,FALSE,No,Win
8/29/1993,Uruguay,Venezuela,South America,South America,4,0,FIFA World Cup qualification,FALSE,No,Win
8/31/1993,Iceland,USA,Europe,North America,0,1,Friendly,FALSE,No,Lose
9/5/1993,Argentina,Colombia,South America,South America,0,5,FIFA World Cup qualification,FALSE,No,Lose
9/5/1993,Brazil,Venezuela,South America,South America,4,0,FIFA World Cup qualification,FALSE,No,Win
9/5/1993,Ecuador,Uruguay,South America,South America,0,1,FIFA World Cup qualification,FALSE,No,Lose
9/5/1993,Estonia,Portugal,Europe,Europe,0,2,FIFA World Cup qualification,FALSE,No,Lose
9/5/1993,Peru,Paraguay,South America,South America,2,2,FIFA World Cup qualification,FALSE,No,Draw
9/6/1993,Eswatini,Zimbabwe,Africa,Africa,0,1,Friendly,FALSE,No,Lose
9/8/1993,Albania,Denmark,Europe,Europe,0,1,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Bulgaria,Sweden,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
9/8/1993,England,Poland,Europe,Europe,3,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Faroe Islands,Romania,Europe,Europe,0,4,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Finland,France,Europe,Europe,0,2,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Hungary,Russia,Europe,Europe,1,3,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Iceland,Luxembourg,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Republic of Ireland,Lithuania,Europe,Europe,2,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Northern Ireland,Latvia,Europe,Europe,2,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Norway,USA,Europe,North America,1,0,Friendly,FALSE,No,Win
9/8/1993,Scotland,Switzerland,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
9/8/1993,Spain,Chile,Europe,South America,2,0,Friendly,FALSE,No,Win
9/12/1993,Uruguay,Bolivia,South America,South America,2,1,FIFA World Cup qualification,FALSE,No,Win
